[16:00:58.225] Namespace(strings=[], root_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/train_npz_new', volume_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/train_npz_new', list_dir='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/lists_Synapse', dataset='Synapse', num_classes=3, max_iterations=30000, max_epochs=10, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=256, seed=2222, dual=True, z_spacing=1, is_pretrain=True, exp='run_2025-10-08_18_Dual_MIST_CAM_loss_MUTATION_w3_7_256')
[16:00:58.227] ##########Disable test_save##########
[16:00:58.227] ##########Using dual supervision##########
[16:00:58.232] 175 iterations per epoch. 1750 max iterations 
[16:01:13.648] iteration 2, epoch 0 : loss : 9.591965, lr: 0.000100
[16:01:14.780] iteration 4, epoch 0 : loss : 6.182121, lr: 0.000100
[16:01:15.983] iteration 6, epoch 0 : loss : 4.900592, lr: 0.000100
[16:01:17.141] iteration 8, epoch 0 : loss : 4.783821, lr: 0.000100
[16:01:18.254] iteration 10, epoch 0 : loss : 4.503319, lr: 0.000100
[16:01:19.349] iteration 12, epoch 0 : loss : 4.375191, lr: 0.000100
[16:01:20.448] iteration 14, epoch 0 : loss : 4.441180, lr: 0.000100
[16:01:21.509] iteration 16, epoch 0 : loss : 5.187996, lr: 0.000100
[16:01:22.575] iteration 18, epoch 0 : loss : 4.243564, lr: 0.000100
[16:01:23.625] iteration 20, epoch 0 : loss : 4.240703, lr: 0.000100
[16:01:24.649] iteration 22, epoch 0 : loss : 4.242973, lr: 0.000100
[16:01:25.686] iteration 24, epoch 0 : loss : 4.158956, lr: 0.000100
[16:01:26.769] iteration 26, epoch 0 : loss : 4.196885, lr: 0.000100
[16:01:27.876] iteration 28, epoch 0 : loss : 4.216909, lr: 0.000100
[16:01:28.969] iteration 30, epoch 0 : loss : 3.888413, lr: 0.000100
[16:01:30.059] iteration 32, epoch 0 : loss : 3.980463, lr: 0.000100
[16:01:31.129] iteration 34, epoch 0 : loss : 0.699483, lr: 0.000100
[16:01:32.255] iteration 36, epoch 0 : loss : 0.703718, lr: 0.000100
[16:01:33.338] iteration 38, epoch 0 : loss : 3.825102, lr: 0.000100
[16:01:34.533] iteration 40, epoch 0 : loss : 3.799461, lr: 0.000100
[16:01:35.704] iteration 42, epoch 0 : loss : 3.759109, lr: 0.000100
[16:01:36.795] iteration 44, epoch 0 : loss : 3.819929, lr: 0.000100
[16:01:37.816] iteration 46, epoch 0 : loss : 3.827805, lr: 0.000100
[16:01:38.849] iteration 48, epoch 0 : loss : 3.797154, lr: 0.000100
[16:01:39.912] iteration 50, epoch 0 : loss : 3.776337, lr: 0.000100
[16:01:40.967] iteration 52, epoch 0 : loss : 3.744583, lr: 0.000100
[16:01:42.039] iteration 54, epoch 0 : loss : 0.754629, lr: 0.000100
[16:01:43.091] iteration 56, epoch 0 : loss : 3.702696, lr: 0.000100
[16:01:44.135] iteration 58, epoch 0 : loss : 3.561376, lr: 0.000100
[16:01:45.179] iteration 60, epoch 0 : loss : 0.236553, lr: 0.000100
[16:01:46.218] iteration 62, epoch 0 : loss : 3.527930, lr: 0.000100
[16:01:47.296] iteration 64, epoch 0 : loss : 0.234766, lr: 0.000100
[16:01:48.381] iteration 66, epoch 0 : loss : 3.616924, lr: 0.000100
[16:01:49.451] iteration 68, epoch 0 : loss : 3.604102, lr: 0.000100
[16:01:50.539] iteration 70, epoch 0 : loss : 3.531850, lr: 0.000100
[16:01:51.581] iteration 72, epoch 0 : loss : 3.552352, lr: 0.000100
[16:01:52.626] iteration 74, epoch 0 : loss : 0.241409, lr: 0.000100
[16:01:53.672] iteration 76, epoch 0 : loss : 0.244822, lr: 0.000100
[16:01:54.714] iteration 78, epoch 0 : loss : 0.243440, lr: 0.000100
[16:01:55.794] iteration 80, epoch 0 : loss : 3.681952, lr: 0.000100
[16:01:56.893] iteration 82, epoch 0 : loss : 3.622158, lr: 0.000100
[16:01:57.994] iteration 84, epoch 0 : loss : 3.599002, lr: 0.000100
[16:01:59.063] iteration 86, epoch 0 : loss : 3.571249, lr: 0.000100
[16:02:00.100] iteration 88, epoch 0 : loss : 3.614925, lr: 0.000100
[16:02:01.159] iteration 90, epoch 0 : loss : 3.525667, lr: 0.000100
[16:02:02.241] iteration 92, epoch 0 : loss : 0.243752, lr: 0.000100
[16:02:03.373] iteration 94, epoch 0 : loss : 3.544144, lr: 0.000100
[16:02:04.475] iteration 96, epoch 0 : loss : 3.563508, lr: 0.000100
[16:02:05.594] iteration 98, epoch 0 : loss : 0.237706, lr: 0.000100
[16:02:06.658] iteration 100, epoch 0 : loss : 0.237337, lr: 0.000100
[16:02:07.810] iteration 102, epoch 0 : loss : 3.530007, lr: 0.000100
[16:02:08.941] iteration 104, epoch 0 : loss : 3.776787, lr: 0.000100
[16:02:10.025] iteration 106, epoch 0 : loss : 3.582878, lr: 0.000100
[16:02:11.108] iteration 108, epoch 0 : loss : 3.592642, lr: 0.000100
[16:02:12.178] iteration 110, epoch 0 : loss : 3.534473, lr: 0.000100
[16:02:13.227] iteration 112, epoch 0 : loss : 3.579479, lr: 0.000100
[16:02:14.270] iteration 114, epoch 0 : loss : 3.552841, lr: 0.000100
[16:02:15.343] iteration 116, epoch 0 : loss : 0.435482, lr: 0.000100
[16:02:16.456] iteration 118, epoch 0 : loss : 3.538668, lr: 0.000100
[16:02:17.515] iteration 120, epoch 0 : loss : 3.576840, lr: 0.000100
[16:02:18.599] iteration 122, epoch 0 : loss : 3.551303, lr: 0.000100
[16:02:19.733] iteration 124, epoch 0 : loss : 3.596681, lr: 0.000100
[16:02:20.936] iteration 126, epoch 0 : loss : 3.552522, lr: 0.000100
