[18:24:54.204] Namespace(strings=[], root_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/train_npz_new', volume_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/train_npz_new', list_dir='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/lists_Synapse', dataset='Synapse', num_classes=3, max_iterations=30000, max_epochs=10, batch_size=4, n_gpu=1, deterministic=1, base_lr=1e-05, img_size=256, seed=2222, dual=True, z_spacing=1, is_pretrain=True, exp='run_2025-10-08_20_Dual_MIST_CAM_loss_MUTATION_w3_7_256')
[18:24:54.204] ##########Disable test_save##########
[18:24:54.252] ##########Using dual supervision##########
[18:24:54.256] 175 iterations per epoch. 1750 max iterations 
[18:25:07.558] iteration 2, epoch 0 : loss : 1.383510, lr: 0.000010
[18:25:08.654] iteration 4, epoch 0 : loss : 1.251682, lr: 0.000010
[18:25:09.604] iteration 6, epoch 0 : loss : 1.127249, lr: 0.000010
[18:25:10.590] iteration 8, epoch 0 : loss : 1.082008, lr: 0.000010
[18:25:11.584] iteration 10, epoch 0 : loss : 1.025823, lr: 0.000010
[18:25:12.551] iteration 12, epoch 0 : loss : 0.973975, lr: 0.000010
[18:25:13.511] iteration 14, epoch 0 : loss : 0.940279, lr: 0.000010
[18:25:14.488] iteration 16, epoch 0 : loss : 0.920953, lr: 0.000010
[18:25:15.448] iteration 18, epoch 0 : loss : 0.883219, lr: 0.000010
[18:25:16.389] iteration 20, epoch 0 : loss : 0.868618, lr: 0.000010
[18:25:17.361] iteration 22, epoch 0 : loss : 0.852352, lr: 0.000010
[18:25:18.338] iteration 24, epoch 0 : loss : 0.842851, lr: 0.000010
[18:25:19.298] iteration 26, epoch 0 : loss : 0.824385, lr: 0.000010
[18:25:20.255] iteration 28, epoch 0 : loss : 0.821750, lr: 0.000010
[18:25:21.222] iteration 30, epoch 0 : loss : 0.803991, lr: 0.000010
[18:25:22.193] iteration 32, epoch 0 : loss : 0.796506, lr: 0.000010
[18:25:23.149] iteration 34, epoch 0 : loss : nan, lr: 0.000010
[18:25:24.112] iteration 36, epoch 0 : loss : nan, lr: 0.000010
[18:25:25.077] iteration 38, epoch 0 : loss : 0.777535, lr: 0.000010
[18:25:26.017] iteration 40, epoch 0 : loss : 0.774085, lr: 0.000010
[18:25:26.956] iteration 42, epoch 0 : loss : 0.768800, lr: 0.000010
[18:25:27.902] iteration 44, epoch 0 : loss : 0.765616, lr: 0.000010
[18:25:28.825] iteration 46, epoch 0 : loss : 0.761048, lr: 0.000010
[18:25:29.767] iteration 48, epoch 0 : loss : 0.757160, lr: 0.000010
[18:25:30.736] iteration 50, epoch 0 : loss : 0.753490, lr: 0.000010
[18:25:31.691] iteration 52, epoch 0 : loss : 0.750774, lr: 0.000010
[18:25:32.637] iteration 54, epoch 0 : loss : nan, lr: 0.000010
[18:25:33.581] iteration 56, epoch 0 : loss : 0.745292, lr: 0.000010
[18:25:34.559] iteration 58, epoch 0 : loss : 0.744911, lr: 0.000010
[18:25:35.581] iteration 60, epoch 0 : loss : nan, lr: 0.000010
[18:25:36.535] iteration 62, epoch 0 : loss : 0.740070, lr: 0.000010
[18:25:37.483] iteration 64, epoch 0 : loss : nan, lr: 0.000010
[18:25:38.446] iteration 66, epoch 0 : loss : 0.734861, lr: 0.000010
[18:25:39.410] iteration 68, epoch 0 : loss : 0.733855, lr: 0.000010
[18:25:40.348] iteration 70, epoch 0 : loss : 0.731915, lr: 0.000010
[18:25:41.306] iteration 72, epoch 0 : loss : 0.729309, lr: 0.000010
[18:25:42.285] iteration 74, epoch 0 : loss : nan, lr: 0.000010
