[16:37:11.348] Namespace(strings=[], root_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset\\classification_data_with_non_polp/classification_data/train_npz_new', volume_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset\\classification_data_with_non_polp/classification_data/train_npz_new', list_dir='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset\\classification_data_with_non_polp/classification_data/lists_Synapse', dataset='Synapse', num_classes=3, max_iterations=30000, max_epochs=50, batch_size=4, n_gpu=1, deterministic=1, base_lr=1e-05, img_size=256, seed=2222, dual=True, z_spacing=1, is_pretrain=True, exp='run_2025-10-13_19_Dual_MIST_CAM_loss_MUTATION_w3_7_256')
[16:37:11.348] ##########Disable test_save##########
[16:37:11.348] ##########Using dual supervision##########
[16:37:11.354] 243 iterations per epoch. 12150 max iterations 
[16:37:43.795] iteration 50, epoch 0 : loss : 0.627056, lr: 0.000010
[16:38:07.158] iteration 100, epoch 0 : loss : 0.395650, lr: 0.000010
[16:38:30.385] iteration 150, epoch 0 : loss : 0.328800, lr: 0.000010
[16:38:53.916] iteration 200, epoch 0 : loss : 0.215395, lr: 0.000010
[16:39:14.062] iteration 243, epoch 0 : loss : 0.275699, lr: 0.000010
[16:39:17.361] iteration 250, epoch 1 : loss : 0.320156, lr: 0.000010
[16:39:40.680] iteration 300, epoch 1 : loss : 0.355855, lr: 0.000010
[16:40:03.961] iteration 350, epoch 1 : loss : 0.179006, lr: 0.000010
[16:40:27.217] iteration 400, epoch 1 : loss : 0.368332, lr: 0.000010
[16:40:50.515] iteration 450, epoch 1 : loss : 0.411017, lr: 0.000010
[16:41:07.345] iteration 486, epoch 1 : loss : 0.379056, lr: 0.000010
[16:41:14.031] iteration 500, epoch 2 : loss : 0.278264, lr: 0.000010
[16:41:37.321] iteration 550, epoch 2 : loss : 0.257574, lr: 0.000010
[16:42:00.628] iteration 600, epoch 2 : loss : 0.122813, lr: 0.000010
[16:42:24.068] iteration 650, epoch 2 : loss : 0.119656, lr: 0.000010
[16:42:47.379] iteration 700, epoch 2 : loss : 0.172480, lr: 0.000010
[16:43:00.902] iteration 729, epoch 2 : loss : 0.068326, lr: 0.000010
[16:43:10.672] iteration 750, epoch 3 : loss : 0.095239, lr: 0.000010
[16:43:34.010] iteration 800, epoch 3 : loss : 0.546899, lr: 0.000010
[16:43:57.347] iteration 850, epoch 3 : loss : 0.352679, lr: 0.000010
[16:44:20.687] iteration 900, epoch 3 : loss : 0.117531, lr: 0.000010
[16:44:44.016] iteration 950, epoch 3 : loss : 0.371111, lr: 0.000010
[16:44:54.261] iteration 972, epoch 3 : loss : 0.190296, lr: 0.000010
[16:45:07.390] iteration 1000, epoch 4 : loss : 0.298778, lr: 0.000010
[16:45:30.803] iteration 1050, epoch 4 : loss : 0.237761, lr: 0.000010
[16:45:54.230] iteration 1100, epoch 4 : loss : 0.298818, lr: 0.000010
[16:46:17.587] iteration 1150, epoch 4 : loss : 0.322100, lr: 0.000010
[16:46:40.982] iteration 1200, epoch 4 : loss : 0.308117, lr: 0.000010
[16:46:48.018] iteration 1215, epoch 4 : loss : 0.055374, lr: 0.000010
[16:47:04.428] iteration 1250, epoch 5 : loss : 0.130936, lr: 0.000010
[16:47:27.909] iteration 1300, epoch 5 : loss : 0.274628, lr: 0.000010
[16:47:51.505] iteration 1350, epoch 5 : loss : 0.070353, lr: 0.000010
[16:48:14.956] iteration 1400, epoch 5 : loss : 0.267153, lr: 0.000010
[16:48:38.473] iteration 1450, epoch 5 : loss : 0.073443, lr: 0.000010
[16:48:42.279] iteration 1458, epoch 5 : loss : 0.154480, lr: 0.000010
[16:49:02.001] iteration 1500, epoch 6 : loss : 0.065573, lr: 0.000010
[16:49:25.421] iteration 1550, epoch 6 : loss : 0.273925, lr: 0.000010
[16:49:48.889] iteration 1600, epoch 6 : loss : 0.064607, lr: 0.000010
[16:50:12.284] iteration 1650, epoch 6 : loss : 0.322688, lr: 0.000010
[16:50:35.804] iteration 1700, epoch 6 : loss : 0.136250, lr: 0.000010
[16:50:36.293] iteration 1701, epoch 6 : loss : 0.287398, lr: 0.000010
[16:50:59.297] iteration 1750, epoch 7 : loss : 0.281945, lr: 0.000010
[16:51:22.876] iteration 1800, epoch 7 : loss : 0.263861, lr: 0.000010
[16:51:46.307] iteration 1850, epoch 7 : loss : 0.096104, lr: 0.000010
[16:52:09.874] iteration 1900, epoch 7 : loss : 0.111931, lr: 0.000010
[16:52:30.546] iteration 1944, epoch 7 : loss : 0.095253, lr: 0.000010
[16:52:33.428] iteration 1950, epoch 8 : loss : 0.081208, lr: 0.000010
[16:52:56.940] iteration 2000, epoch 8 : loss : 0.298982, lr: 0.000010
[16:53:20.678] iteration 2050, epoch 8 : loss : 0.148616, lr: 0.000010
[16:53:44.294] iteration 2100, epoch 8 : loss : 0.054993, lr: 0.000010
[16:54:07.900] iteration 2150, epoch 8 : loss : 0.154034, lr: 0.000010
[16:54:25.393] iteration 2187, epoch 8 : loss : 0.069203, lr: 0.000010
