[16:12:03.185] Namespace(strings=[], root_path='C:\\Users\\jaydu\\OneDrive\\Desktop\\python_projects\\polpy classification\\PraNet-V2\\Dataset\\Dataset_2000\\train_npz_new', volume_path='C:\\Users\\jaydu\\OneDrive\\Desktop\\python_projects\\polpy classification\\PraNet-V2\\Dataset\\Dataset_2000\\train_npz_new', list_dir='C:\\Users\\jaydu\\OneDrive\\Desktop\\python_projects\\polpy classification\\PraNet-V2\\Dataset\\Dataset_2000\\lists_Synapse', dataset='Synapse', num_classes=3, max_iterations=30000, max_epochs=50, batch_size=4, n_gpu=1, deterministic=1, base_lr=1e-05, img_size=256, seed=2222, dual=True, z_spacing=1, is_pretrain=True, exp='run_2025-10-14_18_Dual_MIST_CAM_loss_MUTATION_w3_7_256')
[16:12:03.185] ##########Disable test_save##########
[16:12:03.185] ##########Using dual supervision##########
[16:12:03.193] 373 iterations per epoch. 18650 max iterations 
[16:12:36.385] iteration 50, epoch 0 : loss : 0.540673, lr: 0.000010
[16:13:09.378] iteration 100, epoch 0 : loss : 0.486154, lr: 0.000010
[16:13:46.258] iteration 150, epoch 0 : loss : 0.315409, lr: 0.000010
[16:14:23.131] iteration 200, epoch 0 : loss : 0.392748, lr: 0.000010
[16:15:02.405] iteration 250, epoch 0 : loss : 0.227081, lr: 0.000010
[16:15:42.766] iteration 300, epoch 0 : loss : 0.328425, lr: 0.000010
[16:16:18.368] iteration 350, epoch 0 : loss : 0.241909, lr: 0.000010
[16:16:40.146] iteration 373, epoch 0 : loss : 0.401049, lr: 0.000010
[16:17:02.550] iteration 400, epoch 1 : loss : 0.465442, lr: 0.000010
[16:17:44.825] iteration 450, epoch 1 : loss : 0.233699, lr: 0.000010
[16:18:24.679] iteration 500, epoch 1 : loss : 0.167257, lr: 0.000010
[16:19:09.341] iteration 550, epoch 1 : loss : 0.363808, lr: 0.000010
[16:19:55.944] iteration 600, epoch 1 : loss : 0.533901, lr: 0.000010
[16:20:34.307] iteration 650, epoch 1 : loss : 0.637860, lr: 0.000010
[16:21:09.912] iteration 700, epoch 1 : loss : 0.340840, lr: 0.000010
[16:21:41.730] iteration 746, epoch 1 : loss : 0.319562, lr: 0.000010
[16:21:44.269] iteration 750, epoch 2 : loss : 0.237266, lr: 0.000010
[16:22:19.285] iteration 800, epoch 2 : loss : 0.154541, lr: 0.000010
[16:22:54.897] iteration 850, epoch 2 : loss : 0.378175, lr: 0.000010
[16:23:31.766] iteration 900, epoch 2 : loss : 0.352239, lr: 0.000010
[16:24:09.470] iteration 950, epoch 2 : loss : 0.439304, lr: 0.000010
[16:24:27.820] iteration 1000, epoch 2 : loss : 0.117813, lr: 0.000010
[16:24:46.120] iteration 1050, epoch 2 : loss : 0.283897, lr: 0.000010
[16:25:04.494] iteration 1100, epoch 2 : loss : 0.360971, lr: 0.000010
[16:25:11.394] iteration 1119, epoch 2 : loss : 0.156591, lr: 0.000010
[16:25:22.732] iteration 1150, epoch 3 : loss : 0.370004, lr: 0.000010
[16:25:40.961] iteration 1200, epoch 3 : loss : 0.127333, lr: 0.000010
[16:25:59.373] iteration 1250, epoch 3 : loss : 0.084562, lr: 0.000010
[16:26:17.937] iteration 1300, epoch 3 : loss : 0.176444, lr: 0.000010
[16:26:36.319] iteration 1350, epoch 3 : loss : 0.195902, lr: 0.000010
[16:26:54.565] iteration 1400, epoch 3 : loss : 0.087737, lr: 0.000010
[16:27:12.801] iteration 1450, epoch 3 : loss : 0.408633, lr: 0.000010
[16:27:28.075] iteration 1492, epoch 3 : loss : 0.228961, lr: 0.000010
[16:27:31.000] iteration 1500, epoch 4 : loss : 0.223297, lr: 0.000010
[16:27:49.480] iteration 1550, epoch 4 : loss : 0.098138, lr: 0.000010
[16:28:07.832] iteration 1600, epoch 4 : loss : 0.319334, lr: 0.000010
[16:28:26.045] iteration 1650, epoch 4 : loss : 0.116165, lr: 0.000010
[16:28:44.301] iteration 1700, epoch 4 : loss : 0.207301, lr: 0.000010
[16:29:02.565] iteration 1750, epoch 4 : loss : 0.107462, lr: 0.000010
[16:29:20.860] iteration 1800, epoch 4 : loss : 0.304050, lr: 0.000010
[16:29:39.248] iteration 1850, epoch 4 : loss : 0.385665, lr: 0.000010
[16:29:44.776] iteration 1865, epoch 4 : loss : 0.295392, lr: 0.000010
